Year; historical; historical-ssp119; historical-ssp126; historical-ssp245; historical-ssp370; historical-ssp585
1876; 20.48259646; 20.48259646; 20.48259646; 20.48259646; 20.48259646; 20.48259646
1877; 21.36618084; 21.36618084; 21.36618084; 21.36618084; 21.36618084; 21.36618084
1878; 22.26099622; 22.26099622; 22.26099622; 22.26099622; 22.26099622; 22.26099622
1879; 23.16621113; 23.16621113; 23.16621113; 23.16621113; 23.16621113; 23.16621113
1880; 24.08114207; 24.08114207; 24.08114207; 24.08114207; 24.08114207; 24.08114207
1881; 25.0119164; 25.0119164; 25.0119164; 25.0119164; 25.0119164; 25.0119164
1882; 25.97047865; 25.97047865; 25.97047865; 25.97047865; 25.97047865; 25.97047865
1883; 26.9219169; 26.9219169; 26.9219169; 26.9219169; 26.9219169; 26.9219169
1884; 27.88583726; 27.88583726; 27.88583726; 27.88583726; 27.88583726; 27.88583726
1885; 28.85966837; 28.85966837; 28.85966837; 28.85966837; 28.85966837; 28.85966837
1886; 29.84111989; 29.84111989; 29.84111989; 29.84111989; 29.84111989; 29.84111989
1887; 30.82915401; 30.82915401; 30.82915401; 30.82915401; 30.82915401; 30.82915401
1888; 31.8255142; 31.8255142; 31.8255142; 31.8255142; 31.8255142; 31.8255142
1889; 32.82999766; 32.82999766; 32.82999766; 32.82999766; 32.82999766; 32.82999766
1890; 33.84212554; 33.84212554; 33.84212554; 33.84212554; 33.84212554; 33.84212554
1891; 34.86330211; 34.86330211; 34.86330211; 34.86330211; 34.86330211; 34.86330211
1892; 35.87095594; 35.87095594; 35.87095594; 35.87095594; 35.87095594; 35.87095594
1893; 36.87977922; 36.87977922; 36.87977922; 36.87977922; 36.87977922; 36.87977922
1894; 37.89705336; 37.89705336; 37.89705336; 37.89705336; 37.89705336; 37.89705336
1895; 38.91357541; 38.91357541; 38.91357541; 38.91357541; 38.91357541; 38.91357541
1896; 39.93268061; 39.93268061; 39.93268061; 39.93268061; 39.93268061; 39.93268061
1897; 40.95459092; 40.95459092; 40.95459092; 40.95459092; 40.95459092; 40.95459092
1898; 41.97917247; 41.97917247; 41.97917247; 41.97917247; 41.97917247; 41.97917247
1899; 43.00619388; 43.00619388; 43.00619388; 43.00619388; 43.00619388; 43.00619388
1900; 44.03666401; 44.03666401; 44.03666401; 44.03666401; 44.03666401; 44.03666401
1901; 45.09817374; 45.09817374; 45.09817374; 45.09817374; 45.09817374; 45.09817374
1902; 46.22784984; 46.22784984; 46.22784984; 46.22784984; 46.22784984; 46.22784984
1903; 47.39607584; 47.39607584; 47.39607584; 47.39607584; 47.39607584; 47.39607584
1904; 48.5973984; 48.5973984; 48.5973984; 48.5973984; 48.5973984; 48.5973984
1905; 49.82627392; 49.82627392; 49.82627392; 49.82627392; 49.82627392; 49.82627392
1906; 51.0767976; 51.0767976; 51.0767976; 51.0767976; 51.0767976; 51.0767976
1907; 52.34502065; 52.34502065; 52.34502065; 52.34502065; 52.34502065; 52.34502065
1908; 53.62803316; 53.62803316; 53.62803316; 53.62803316; 53.62803316; 53.62803316
1909; 54.92348886; 54.92348886; 54.92348886; 54.92348886; 54.92348886; 54.92348886
1910; 56.22660625; 56.22660625; 56.22660625; 56.22660625; 56.22660625; 56.22660625
1911; 57.50508201; 57.50508201; 57.50508201; 57.50508201; 57.50508201; 57.50508201
1912; 58.78345239; 58.78345239; 58.78345239; 58.78345239; 58.78345239; 58.78345239
1913; 60.03922522; 60.03922522; 60.03922522; 60.03922522; 60.03922522; 60.03922522
1914; 61.28846037; 61.28846037; 61.28846037; 61.28846037; 61.28846037; 61.28846037
1915; 62.53438723; 62.53438723; 62.53438723; 62.53438723; 62.53438723; 62.53438723
1916; 63.77635801; 63.77635801; 63.77635801; 63.77635801; 63.77635801; 63.77635801
1917; 65.01301658; 65.01301658; 65.01301658; 65.01301658; 65.01301658; 65.01301658
1918; 66.24124455; 66.24124455; 66.24124455; 66.24124455; 66.24124455; 66.24124455
1919; 67.46603453; 67.46603453; 67.46603453; 67.46603453; 67.46603453; 67.46603453
1920; 68.68755221; 68.68755221; 68.68755221; 68.68755221; 68.68755221; 68.68755221
1921; 69.93098664; 69.93098664; 69.93098664; 69.93098664; 69.93098664; 69.93098664
1922; 71.20266318; 71.20266318; 71.20266318; 71.20266318; 71.20266318; 71.20266318
1923; 72.47741437; 72.47741437; 72.47741437; 72.47741437; 72.47741437; 72.47741437
1924; 73.75964785; 73.75964785; 73.75964785; 73.75964785; 73.75964785; 73.75964785
1925; 75.04815817; 75.04815817; 75.04815817; 75.04815817; 75.04815817; 75.04815817
1926; 76.34287667; 76.34287667; 76.34287667; 76.34287667; 76.34287667; 76.34287667
1927; 77.64429271; 77.64429271; 77.64429271; 77.64429271; 77.64429271; 77.64429271
1928; 78.957026; 78.957026; 78.957026; 78.957026; 78.957026; 78.957026
1929; 80.27679491; 80.27679491; 80.27679491; 80.27679491; 80.27679491; 80.27679491
1930; 81.60319519; 81.60319519; 81.60319519; 81.60319519; 81.60319519; 81.60319519
1931; 82.93531239; 82.93531239; 82.93531239; 82.93531239; 82.93531239; 82.93531239
1932; 84.30561578; 84.30561578; 84.30561578; 84.30561578; 84.30561578; 84.30561578
1933; 85.69319475; 85.69319475; 85.69319475; 85.69319475; 85.69319475; 85.69319475
1934; 87.09444535; 87.09444535; 87.09444535; 87.09444535; 87.09444535; 87.09444535
1935; 88.50624716; 88.50624716; 88.50624716; 88.50624716; 88.50624716; 88.50624716
1936; 89.94293904; 89.94293904; 89.94293904; 89.94293904; 89.94293904; 89.94293904
1937; 91.38914025; 91.38914025; 91.38914025; 91.38914025; 91.38914025; 91.38914025
1938; 92.84565175; 92.84565175; 92.84565175; 92.84565175; 92.84565175; 92.84565175
1939; 94.30674136; 94.30674136; 94.30674136; 94.30674136; 94.30674136; 94.30674136
1940; 95.77154553; 95.77154553; 95.77154553; 95.77154553; 95.77154553; 95.77154553
1941; 97.20930719; 97.20930719; 97.20930719; 97.20930719; 97.20930719; 97.20930719
1942; 98.64997435; 98.64997435; 98.64997435; 98.64997435; 98.64997435; 98.64997435
1943; 100.086535; 100.086535; 100.086535; 100.086535; 100.086535; 100.086535
1944; 101.5216005; 101.5216005; 101.5216005; 101.5216005; 101.5216005; 101.5216005
1945; 102.9546608; 102.9546608; 102.9546608; 102.9546608; 102.9546608; 102.9546608
1946; 104.4185959; 104.4185959; 104.4185959; 104.4185959; 104.4185959; 104.4185959
1947; 105.88805; 105.88805; 105.88805; 105.88805; 105.88805; 105.88805
1948; 107.3771548; 107.3771548; 107.3771548; 107.3771548; 107.3771548; 107.3771548
1949; 108.8716955; 108.8716955; 108.8716955; 108.8716955; 108.8716955; 108.8716955
1950; 110.3740487; 110.3740487; 110.3740487; 110.3740487; 110.3740487; 110.3740487
1951; 111.988925; 111.988925; 111.988925; 111.988925; 111.988925; 111.988925
1952; 113.857091; 113.857091; 113.857091; 113.857091; 113.857091; 113.857091
1953; 115.828043; 115.828043; 115.828043; 115.828043; 115.828043; 115.828043
1954; 117.9028072; 117.9028072; 117.9028072; 117.9028072; 117.9028072; 117.9028072
1955; 120.0618515; 120.0618515; 120.0618515; 120.0618515; 120.0618515; 120.0618515
1956; 122.2818296; 122.2818296; 122.2818296; 122.2818296; 122.2818296; 122.2818296
1957; 124.5503676; 124.5503676; 124.5503676; 124.5503676; 124.5503676; 124.5503676
1958; 126.8673508; 126.8673508; 126.8673508; 126.8673508; 126.8673508; 126.8673508
1959; 129.1689885; 129.1689885; 129.1689885; 129.1689885; 129.1689885; 129.1689885
1960; 131.4888976; 131.4888976; 131.4888976; 131.4888976; 131.4888976; 131.4888976
1961; 133.8639352; 133.8639352; 133.8639352; 133.8639352; 133.8639352; 133.8639352
1962; 136.0153928; 136.0153928; 136.0153928; 136.0153928; 136.0153928; 136.0153928
1963; 138.0595851; 138.0595851; 138.0595851; 138.0595851; 138.0595851; 138.0595851
1964; 140.0255979; 140.0255979; 140.0255979; 140.0255979; 140.0255979; 140.0255979
1965; 141.9533134; 141.9533134; 141.9533134; 141.9533134; 141.9533134; 141.9533134
1966; 143.8424667; 143.8424667; 143.8424667; 143.8424667; 143.8424667; 143.8424667
1967; 145.7199751; 145.7199751; 145.7199751; 145.7199751; 145.7199751; 145.7199751
1968; 147.5467981; 147.5467981; 147.5467981; 147.5467981; 147.5467981; 147.5467981
1969; 149.3483201; 149.3483201; 149.3483201; 149.3483201; 149.3483201; 149.3483201
1970; 151.1203796; 151.1203796; 151.1203796; 151.1203796; 151.1203796; 151.1203796
1971; 152.8075457; 152.8075457; 152.8075457; 152.8075457; 152.8075457; 152.8075457
1972; 154.4272387; 154.4272387; 154.4272387; 154.4272387; 154.4272387; 154.4272387
1973; 156.0210893; 156.0210893; 156.0210893; 156.0210893; 156.0210893; 156.0210893
1974; 157.5823227; 157.5823227; 157.5823227; 157.5823227; 157.5823227; 157.5823227
1975; 159.1343118; 159.1343118; 159.1343118; 159.1343118; 159.1343118; 159.1343118
1976; 160.6857114; 160.6857114; 160.6857114; 160.6857114; 160.6857114; 160.6857114
1977; 162.2392387; 162.2392387; 162.2392387; 162.2392387; 162.2392387; 162.2392387
1978; 163.7572507; 163.7572507; 163.7572507; 163.7572507; 163.7572507; 163.7572507
1979; 165.2430558; 165.2430558; 165.2430558; 165.2430558; 165.2430558; 165.2430558
1980; 166.7198607; 166.7198607; 166.7198607; 166.7198607; 166.7198607; 166.7198607
1981; 168.1945988; 168.1945988; 168.1945988; 168.1945988; 168.1945988; 168.1945988
1982; 169.709272; 169.709272; 169.709272; 169.709272; 169.709272; 169.709272
1983; 171.3295828; 171.3295828; 171.3295828; 171.3295828; 171.3295828; 171.3295828
1984; 172.9769788; 172.9769788; 172.9769788; 172.9769788; 172.9769788; 172.9769788
1985; 174.6561358; 174.6561358; 174.6561358; 174.6561358; 174.6561358; 174.6561358
1986; 176.3618051; 176.3618051; 176.3618051; 176.3618051; 176.3618051; 176.3618051
1987; 178.0686229; 178.0686229; 178.0686229; 178.0686229; 178.0686229; 178.0686229
1988; 179.7864571; 179.7864571; 179.7864571; 179.7864571; 179.7864571; 179.7864571
1989; 181.5252411; 181.5252411; 181.5252411; 181.5252411; 181.5252411; 181.5252411
1990; 183.2314355; 183.2314355; 183.2314355; 183.2314355; 183.2314355; 183.2314355
1991; 185.0408149; 185.0408149; 185.0408149; 185.0408149; 185.0408149; 185.0408149
1992; 186.7906837; 186.7906837; 186.7906837; 186.7906837; 186.7906837; 186.7906837
1993; 188.4322252; 188.4322252; 188.4322252; 188.4322252; 188.4322252; 188.4322252
1994; 190.0206809; 190.0206809; 190.0206809; 190.0206809; 190.0206809; 190.0206809
1995; 191.5813353; 191.5813353; 191.5813353; 191.5813353; 191.5813353; 191.5813353
1996; 193.1100631; 193.1100631; 193.1100631; 193.1100631; 193.1100631; 193.1100631
1997; 194.6050766; 194.6050766; 194.6050766; 194.6050766; 194.6050766; 194.6050766
1998; 196.0747405; 196.0747405; 196.0747405; 196.0747405; 196.0747405; 196.0747405
1999; 197.5078964; 197.5078964; 197.5078964; 197.5078964; 197.5078964; 197.5078964
2000; 198.9271958; 198.9271958; 198.9271958; 198.9271958; 198.9271958; 198.9271958
2001; 200.2415497; 200.2415497; 200.2415497; 200.2415497; 200.2415497; 200.2415497
2002; 201.4012808; 201.4012808; 201.4012808; 201.4012808; 201.4012808; 201.4012808
2003; 202.5139319; 202.5139319; 202.5139319; 202.5139319; 202.5139319; 202.5139319
2004; 203.5912589; 203.5912589; 203.5912589; 203.5912589; 203.5912589; 203.5912589
2005; 204.6503862; 204.6503862; 204.6503862; 204.6503862; 204.6503862; 204.6503862
2006; 205.6803852; 205.6803852; 205.6803852; 205.6803852; 205.6803852; 205.6803852
2007; 206.6434811; 206.6434811; 206.6434811; 206.6434811; 206.6434811; 206.6434811
2008; 207.5974031; 207.5974031; 207.5974031; 207.5974031; 207.5974031; 207.5974031
2009; 208.5680427; 208.5680427; 208.5680427; 208.5680427; 208.5680427; 208.5680427
2010; 209.8023657; 209.8023657; 209.8023657; 209.8023657; 209.8023657; 209.8023657
2011; 210.7123657; 210.7123657; 210.7123657; 210.7123657; 210.7123657; 210.7123657
2012; 211.6823657; 211.6823657; 211.6823657; 211.6823657; 211.6823657; 211.6823657
2013; 212.6023657; 212.6023657; 212.6023657; 212.6023657; 212.6023657; 212.6023657
2014; 213.6923658; 213.6923658; 213.6923658; 213.6923658; 213.6923658; 213.6923658
2015; 214.6516676; 214.6516676; 214.6516676; 214.6516676; 214.6516676; 214.6516676
2016; ; 215.5923234; 215.5924725; 215.5968945; 215.6304777; 215.6345465
2017; ; 216.5143334; 216.5147804; 216.5280467; 216.6287961; 216.6410024
2018; ; 217.4176973; 217.4185914; 217.4451239; 217.6466227; 217.6710354
2019; ; 218.3024153; 218.3039054; 218.3481263; 218.6839577; 218.7246455
2020; ; 219.1684873; 219.1707225; 219.2370539; 219.7408009; 219.8018326
2021; ; 219.9581066; 219.9559869; 220.1156719; 220.7879063; 220.8953066
2022; ; 220.6712729; 220.6596985; 220.9839805; 221.8252739; 222.0050675
2023; ; 221.3079865; 221.2818574; 221.8419795; 222.8529036; 223.1311154
2024; ; 221.8682472; 221.8224636; 222.6896691; 223.8707954; 224.2734501
2025; ; 222.3520551; 222.281517; 223.5270492; 224.8789495; 225.4320718
2026; ; 222.7594102; 222.6590177; 224.3541198; 225.8773656; 226.6069804
2027; ; 223.0903124; 222.9549657; 225.1708809; 226.866044; 227.7981758
2028; ; 223.3447618; 223.169361; 225.9773325; 227.8449845; 229.0056582
2029; ; 223.5227584; 223.3022035; 226.7734746; 228.8141871; 230.2294275
2030; ; 223.6243021; 223.3534933; 227.5593072; 229.7736519; 231.4694837
2031; ; 223.7534274; 223.3890777; 228.3255832; 230.7234041; 232.6792361
2032; ; 223.9101341; 223.4089569; 229.0723027; 231.6634436; 233.8586848
2033; ; 224.0944223; 223.4131308; 229.7994656; 232.5937705; 235.0078297
2034; ; 224.306292; 223.4015993; 230.5070719; 233.5143847; 236.1266709
2035; ; 224.5457432; 223.3743625; 231.1951216; 234.4252863; 237.2152084
2036; ; 224.8127759; 223.3314204; 231.8636148; 235.3264752; 238.2734421
2037; ; 225.1073901; 223.272773; 232.5125514; 236.2179515; 239.301372
2038; ; 225.4295858; 223.1984203; 233.1419314; 237.0997152; 240.2989982
2039; ; 225.779363; 223.1083623; 233.7517548; 237.9717662; 241.2663206
2040; ; 226.1567217; 223.0025989; 234.3420217; 238.8341045; 242.2033393
2041; ; 226.4741148; 222.8594495; 234.8869232; 239.6890034; 243.1026467
2042; ; 226.7315424; 222.6789139; 235.3864594; 240.5364628; 243.9642428
2043; ; 226.9290045; 222.4609923; 235.8406304; 241.3764827; 244.7881277
2044; ; 227.066501; 222.2056845; 236.249436; 242.2090631; 245.5743012
2045; ; 227.144032; 221.9129906; 236.6128763; 243.0342041; 246.3227634
2046; ; 227.1615975; 221.5829106; 236.9309513; 243.8519055; 247.0335143
2047; ; 227.1191974; 221.2154444; 237.203661; 244.6621675; 247.706554
2048; ; 227.0168318; 220.8105922; 237.4310054; 245.46499; 248.3418823
2049; ; 226.8545007; 220.3683539; 237.6129844; 246.260373; 248.9394993
2050; ; 226.632204; 219.8887294; 237.7495982; 247.0483165; 249.4994051
2051; ; 226.3914866; 219.3865234; 237.8305529; 247.8432261; 250.007122
2052; ; 226.1323484; 218.8617357; 237.8558485; 248.6451016; 250.46265
2053; ; 225.8547895; 218.3143664; 237.8254851; 249.4539432; 250.8659891
2054; ; 225.5588098; 217.7444155; 237.7394626; 250.2697508; 251.2171394
2055; ; 225.2444094; 217.151883; 237.597781; 251.0925244; 251.5161008
2056; ; 224.9115883; 216.5367688; 237.4004404; 251.922264; 251.7628734
2057; ; 224.5603464; 215.8990731; 237.1474407; 252.7589696; 251.9574571
2058; ; 224.1906837; 215.2387957; 236.8387819; 253.6026412; 252.0998519
2059; ; 223.8026003; 214.5559368; 236.4744641; 254.4532789; 252.1900579
2060; ; 223.3960962; 213.8504962; 236.0544872; 255.3108826; 252.2280749
2061; ; 222.9802712; 213.1451278; 235.6162029; 256.1658671; 252.2560195
2062; ; 222.5551254; 212.4398316; 235.1596111; 257.0182327; 252.2738915
2063; ; 222.1206588; 211.7346076; 234.6847119; 257.8679791; 252.2816909
2064; ; 221.6768714; 211.0294557; 234.1915052; 258.7151064; 252.2794178
2065; ; 221.2237631; 210.3243761; 233.679991; 259.5596147; 252.2670722
2066; ; 220.761334; 209.6193687; 233.1501695; 260.4015039; 252.244654
2067; ; 220.2895841; 208.9144334; 232.6020404; 261.2407741; 252.2121632
2068; ; 219.8085134; 208.2095704; 232.0356039; 262.0774251; 252.1695999
2069; ; 219.3181218; 207.5047795; 231.45086; 262.9114571; 252.1169641
2070; ; 218.8184095; 206.8000609; 230.8478086; 263.74287; 252.0542557
2071; ; 218.3107962; 206.0993531; 230.2124075; 264.5686863; 251.9937858
2072; ; 217.7952819; 205.4026563; 229.5446567; 265.388906; 251.9355545
2073; ; 217.2718667; 204.7099703; 228.8445561; 266.2035291; 251.8795616
2074; ; 216.7405506; 204.0212953; 228.1121059; 267.0125556; 251.8258072
2075; ; 216.2013335; 203.3366312; 227.3473059; 267.8159855; 251.7742914
2076; ; 215.6542155; 202.655978; 226.5501561; 268.6138188; 251.725014
2077; ; 215.0991966; 201.9793356; 225.7206567; 269.4060555; 251.6779752
2078; ; 214.5362767; 201.3067042; 224.8588076; 270.1926956; 251.6331748
2079; ; 213.9654558; 200.6380837; 223.9646087; 270.9737391; 251.590613
2080; ; 213.3867341; 199.9734742; 223.0380601; 271.749186; 251.5502897
2081; ; 212.8052582; 199.3184706; 222.0864267; 272.517041; 251.5004886
2082; ; 212.2210283; 198.6730731; 221.1097084; 273.2773041; 251.4412099
2083; ; 211.6340443; 198.0372816; 220.1079053; 274.0299754; 251.3724534
2084; ; 211.0443062; 197.4110961; 219.0810174; 274.7750548; 251.2942193
2085; ; 210.4518141; 196.7945167; 218.0290446; 275.5125423; 251.2065074
2086; ; 209.8565678; 196.1875433; 216.951987; 276.2424379; 251.1093178
2087; ; 209.2585675; 195.590176; 215.8498446; 276.9647416; 251.0026505
2088; ; 208.6578131; 195.0024146; 214.7226173; 277.6794535; 250.8865055
2089; ; 208.0543047; 194.4242593; 213.5703052; 278.3865735; 250.7608828
2090; ; 207.4480421; 193.8557101; 212.3929082; 279.0861016; 250.6257824
2091; ; 206.8374576; 193.2649511; 211.2023398; 279.7881166; 250.4624561
2092; ; 206.2225512; 192.6519825; 209.9985999; 280.4926184; 250.2709039
2093; ; 205.6033229; 192.0168042; 208.7816885; 281.1996071; 250.0511258
2094; ; 204.9797726; 191.3594162; 207.5516055; 281.9090826; 249.8031219
2095; ; 204.3519004; 190.6798185; 206.3083511; 282.621045; 249.526892
2096; ; 203.7197063; 189.9780111; 205.0519252; 283.3354942; 249.2224363
2097; ; 203.0831902; 189.2539941; 203.7823278; 284.0524303; 248.8897547
2098; ; 202.4423522; 188.5077673; 202.4995589; 284.7718533; 248.5288472
2099; ; 201.7971922; 187.7393309; 201.2036185; 285.4937631; 248.1397138
